PARTITION_NAME	NUM_ROWS	BLOCKS	EMPT_BLOCKS	BYTES_PER_MIL_IMP	WASTED_PER_MIL_IMP
--------------	---------	-------	-----------	-----------------	------------------
I_03212000	65643	1635	0	195	0
I_03222000	140340	2608	0	145	0
I_03232000	165909	2795	0	132	0
I_03242000	240237	3447	0	112	0
I_03252000	276617	3711	0	105	0
I_03262000	309865	4106	0	104	0
I_03272000	400561	5416	0	106	0
I_03282000	618266	7426	0	94	0
I_03292000	704163	8274	0	92	0
I_03302000	672393	9181	0	107	0
I_03312000	660274	12441	0	147	0
I_04012000	488694	9395	0	150	0
I_04022000	489193	9451	0	151	0
I_04032000	831080	15685	0	147	0
I_04042000	1120076	20194	0	141	0
I_04052000	1146965	20407	0	139	0
I_04062000	1528723	26108	0	133	0
I_04072000	1426911	24789	0	136	0
I_04082000	1206944	20559	0	133	0
I_04092000	1325716	23290	0	137	0
I_04102000	1827121	31474	0	135	0
I_04112000	1748285	30156	0	135	0
I_04122000	1727408	30257	0	137	0
I_04132000	1453742	26446	0	142	0
I_04142000	1040703	18505	0	139	0
I_04152000	793933	15104	0	149	0
I_04162000	798432	15281	0	150	0
I_04172000	1047257	19888	0	148	0
I_04182000	1038859	18762	0	141	0
I_04192000	1024209	18661	0	142	0
I_04202000	1096706	19609	840	140	6
I_04212000	891989	16028	380	140	3
I_04222000	680837	12268	50	141	1
I_04232000	709105	12782	550	141	6
I_04242000	948059	17078	359	141	3
I_04252000	862373	15739	690	143	6
I_04262000	744664	13671	694	143	7
I_04272000	674881	12437	915	144	11
I_04282000	601204	11154	134	145	2
I_04292000	426085	8093	120	148	2
I_04302000	413749	7659	555	145	10
I_05012000	553093	10232	25	145	0
I_05022000	599092	11143	149	145	2
I_05032000	624567	11041	240	138	3
I_05042000	609507	11120	0	143	0
I_05052000	581042	11159	809	150	11
I_05062000	441672	8279	950	146	17
I_05072000	438111	8299	932	148	17
I_05082000	653897	12250	49	146	1
I_05092000	672036	12498	840	145	10
I_05102000	677835	12618	701	145	8
I_05112000	700359	12894	426	144	5
I_05122000	599114	11166	109	146	1
I_05132000	463754	8776	444	148	7
I_05142000	384574	7054	118	143	2
I_05152000	624090	11417	880	143	11
I_05162000	707205	12303	1018	136	11
I_05172000	630927	11577	716	143	9
I_05182000	671414	11615	681	135	8
I_05192000	572108	10527	743	144	10
I_05202000	408415	7623	573	146	11
I_05212000	416919	7739	455	145	9
I_05222000	617456	11362	930	144	12
I_05232000	694400	12146	145	137	2
I_05242000	685374	12039	255	137	3
I_05252000	656744	12121	173	144	2
I_05262000	687638	12510	809	142	9
I_05272000	504452	9410	835	146	13
I_05282000	503712	9385	860	146	13
I_05292000	581690	10839	429	146	6
I_05302000	755919	13956	386	144	4
I_05312000	729692	13393	959	143	10
I_06012000	662478	11160	109	132	1
I_06022000	647575	10972	298	132	4
I_06032000	531701	9030	189	133	3
I_06042000	965299	15442	954	125	8
I_06052000	781323	13135	184	131	2
I_06062000	746959	12642	678	132	7
I_06072000	737947	12474	845	132	9
I_06082000	732677	12406	915	132	10
I_06092000	698475	11825	474	132	5
I_06102000	428469	7350	846	134	15
I_06112000	456264	7784	412	133	7
I_06122000	700849	11839	456	132	5
I_06132000	699576	11875	420	133	5
I_06142000	702799	11944	352	133	4
I_06152000	537846	9046	175	131	3
I_06162000	680725	11352	942	130	11
I_06172000	455319	7683	513	132	9
I_06182000	450854	7616	578	132	10
I_06192000	727115	12185	109	131	1
I_06202000	667431	11209	59	131	1
I_06212000	847582	14177	164	131	2
I_06222000	913325	15274	92	131	1
I_06232000	833473	14051	291	132	3
I_06242000	628005	10710	563	133	7
I_06252000	643366	10988	282	133	3

PARTITION_NAME	NUM_ROWS	BLOCKS	EMPT_BLOCKS	BYTES_PER_MIL_IMP	WASTED_PER_MIL_IMP
--------------	---------	-------	-----------	-----------------	------------------
I_06262000	934882	15576	814	130	7
I_06272000	936109	15605	783	130	7
I_06282000	989608	16814	596	133	5
I_06292000	399280	8282	935	162	18




